account	subaccount	title	year	price	orderNumber	titleControl	issn	callNumber	notes
11390014164034103	34103	Vision 	2015	$40.00	LEDBP88603	DBP8860		BX 8691.5 .V57x	
11390014164034103	34103	Vision 	2016	$20.00	LEDBP88603	DBP8860		BX 8691.5 .V57x	
11390014164034103	34103	Witness 	2015		LEDBA26851	DBA2685		BX 8691.2 .W781	
11390014164034103	34103	Witness 	2015		LEDBA26851	DBA2685		BX 8691.2 .W781	
11390014164034103	34103	Witness 	2016		LEDBA26851	DBA2685		BX 8691.2 .W781	
11390014164034103	34103	Witness 	2016		LEDBA26851	DBA2685		BX 8691.2 .W781	
11390014164034105	34105	American Catholic philosophical quarterly : journal of The American Catholic Phi	2015	$91.00	LEDBW12622	DBW1262	1051-3558	B 1 .N4	
11390014164034105	34105	American Catholic philosophical quarterly : journal of The American Catholic Phi	2016	$91.00	LEDBW12622	DBW1262	1051-3558	B 1 .N4	
11390014164034105	34105	American philosophical quarterly	2015	$333.00	LEDBB50933	DBB5093	0003-0481	B 1 .A49	JSTOR
11390014164034105	34105	American philosophical quarterly	2016		LEDBB50933	DBB5093	0003-0481	B 1 .A49	JSTOR
11390014164034105	34105	Ancient philosophy 	2015	$85.00	LECAC21872	CAC2187	0740-2007	B 111 .A5x	
11390014164034105	34105	Ancient philosophy 	2016	$85.00	LECAC21872	CAC2187	0740-2007	B 111 .A5x	
11390014164034105	34105	Aquinas	2015	$107.19	LEDBB59011	DBB5901	0003-7362	B 765 .T45 A12	
11390014164034105	34105	Aquinas	2016	$110.68	LEDBB59011	DBB5901	0003-7362	B 765 .T45 A12	
11390014164034105	34105	Dialogue	2015	$252.00	LEDBC21712	DBC2171	0012-2173	B 1 .D5	
11390014164034105	34105	Dialogue	2016	$266.00	LEDBC21712	DBC2171	0012-2173	B 1 .D5	
11390014164034105	34105	Etudes philosophiques 	2015	$109.00	LEDBC33501	DBC3350	0395-7632	B 2 .E86	
11390014164034105	34105	Etudes philosophiques 	2016	$111.73	LEDBC33501	DBC3350	0395-7632	B 2 .E86	
11390014164034105	34105	Heidegger studies	2015	$57.10	LEDFL57631	DFL5763	0885-4580	B 3279 .H49 H3523	
11390014164034105	34105	Heidegger studies	2016		LEDFL57631	DFL5763	0885-4580	B 3279 .H49 H3523	
11390014164034105	34105	History of philosophy quarterly : HPQ	2015	$336.00	LEDAV00413	DAV0041	0740-0675	B 1 .H5x	
11390014164034105	34105	History of philosophy quarterly : HPQ	2016		LEDAV00413	DAV0041	0740-0675	B 1 .H5x	
11390014164034105	34105	Idealistic studies	2015	$136.60	LEDBC62822	DBC6282	0046-8541	B 823 .I33	
11390014164034105	34105	Idealistic studies	2016	$150.00	LEDBC62822	DBC6282	0046-8541	B 823 .I33	
11390014164034105	34105	International philosophical quarterly	2015	$90.00	LEDBC73082	DBC7308	0019-0365	B 1 .I12	
11390014164034105	34105	International philosophical quarterly	2016	$86.00	LEDBC73082	DBC7308	0019-0365	B 1 .I12	
11390014164034105	34105	Oxford studies in ancient philosophy	2015	$155.72	LEDAH74033	DAH7403		B 1 .O9	
11390014164034105	34105	Oxford studies in ancient philosophy	2016	$147.61	LEDAH74033	DAH7403		B 1 .O9	
11390014164034105	34105	Philosophical topics	2015	$156.00	LEDAC96942	DAC9694	0276-2080	B 1 .S58	
11390014164034105	34105	Philosophical topics	2016	$78.00	LEDAC96942	DAC9694	0276-2080	B 1 .S58	
11390014164034105	34105	Proceedings and addresses of the American Philosophical Association	2015	$74.00	LEABT55042	ABT5504	0065-972X	B 11 .A52	JSTOR
11390014164034105	34105	Proceedings and addresses of the American Philosophical Association	2016	$95.00	LEABT55042	ABT5504	0065-972X	B 11 .A52	JSTOR
11390014164034105	34105	Proceedings of the Boston Area Colloquium in Ancient Philosophy	2015		LEA44474381	a4447438	1059-986X	B 171 .B698a	
11390014164034105	34105	Proceedings of the Boston Area Colloquium in Ancient Philosophy	2016	$265.50	LEA44474381	a4447438	1059-986X	B 171 .B698a	
11390014164034105	34105	Process studies	2015	$69.00	LEDBD56332	DBD5633	0360-6503	BD 372 .P75	
11390014164034105	34105	Process studies	2016	$69.00	LEDBD56332	DBD5633	0360-6503	BD 372 .P75	
11390014164034105	34105	Res philosophica	2015	$72.00	LEA61619361	a6161936	2168-9105	B 1 .M675	
11390014164034105	34105	Res philosophica	2016	$72.00	LEA61619361	a6161936	2168-9105	B 1 .M675	
11390014164034105	34105	Revue internationale de philosophie	2015	$111.37	LEDBD67621	DBD6762	0048-8143	B 1 .A24	
11390014164034105	34105	Revue internationale de philosophie	2016		LEDBD67621	DBD6762	0048-8143	B 1 .A24	
11390014164034105	34105	The journal of philosophy	2015	$157.00	LEDBC84362	DBC8436	0022-362X	B 1 .J6	JSTOR
11390014164034105	34105	The journal of philosophy	2016	$157.00	LEDBC84362	DBC8436	0022-362X	B 1 .J6	JSTOR
11390014164034107	34107	Acta Apostolicae Sedis; commentarium officiale	2015	$97.28	LEDBB37751	DBB3775	0001-5199	BX 850 .A32	
11390014164034107	34107	Acta Apostolicae Sedis; commentarium officiale	2016		LEDBB37751	DBB3775	0001-5199	BX 850 .A32	
11390014164034107	34107	American Baptist quarterly	2015		LEABC19362	ABC1936	0745-3698	BX 6201 .A43x	
11390014164034107	34107	American Baptist quarterly	2016		LEABC19362	ABC1936	0745-3698	BX 6201 .A43x	
11390014164034107	34107	Analecta bollandiana; revue critique d'hagiographie	2015	$123.61	LEDBB55081	DBB5508	0003-2468	BX 4655 .A3	
11390014164034107	34107	Analecta bollandiana; revue critique d'hagiographie	2016	$124.15	LEDBB55081	DBB5508	0003-2468	BX 4655 .A3	
11390014164034107	34107	Anglican and Episcopal history	2015	$69.00	LEDAP06062	DAP0606	0896-8039	BX 5800 .H5	
11390014164034107	34107	Anglican and Episcopal history	2016	$69.00	LEDAP06062	DAP0606	0896-8039	BX 5800 .H5	
11390014164034107	34107	Apocrypha 	2015	$99.74	LEDDC36861	DDC3686	1155-3316	BS 646 .A65x	
11390014164034107	34107	Apocrypha 	2016	$102.78	LEDDC36861	DDC3686	1155-3316	BS 646 .A65x	
11390014164034107	34107	Archivum historiae pontificiae	2015	$114.44	LEDAB50721	DAB5072	0066-6785	BR 1 .A1 A73	
11390014164034107	34107	Archivum historiae pontificiae	2016		LEDAB50721	DAB5072	0066-6785	BR 1 .A1 A73	
11390014164034107	34107	Augustiniana	2015	$152.00	LEDAA34861	DAA3486	0004-8003	BX 2901 .A8x	
11390014164034107	34107	Augustiniana	2016		LEDAA34861	DAA3486	0004-8003	BX 2901 .A8x	
11390014164034107	34107	Australian biblical review	2015	$33.01	LECAD63901	CAD6390	0045-0308	BS 410 .A85	
11390014164034107	34107	Australian biblical review	2016	$35.19	LECAD63901	CAD6390	0045-0308	BS 410 .A85	
11390014164034107	34107	Baptist history and heritage	2015	$75.00	LEDBB70202	DBB7020	0005-5719	BX 6207 .S6	
11390014164034107	34107	Baptist history and heritage	2016	$75.00	LEDBB70202	DBB7020	0005-5719	BX 6207 .S6	
11390014164034107	34107	Beihefte zur Zeitschrift für die alttestamentliche Wissenschaft	2015	$1545.48	LEDBE50302	DBE5030		BS 410 .Z5	
11390014164034107	34107	Beihefte zur Zeitschrift für die alttestamentliche Wissenschaft	2016	$1083.51	LEDBE50302	DBE5030		BS 410 .Z5	
11390014164034107	34107	Beihefte zur Zeitschrift für die neutestamentliche Wissenschaft und die Kunde d	2015	$827.22	LECAD63951	CAD6395		BS 410 .Z7	
11390014164034107	34107	Beihefte zur Zeitschrift für die neutestamentliche Wissenschaft und die Kunde d	2016	$1011.02	LECAD63951	CAD6395		BS 410 .Z7	
11390014164034107	34107	Bet Miḳra : ketav-ʻet shel ha-Ḥevrah le-ḥeḳer ha-Miḳra be-Yiśrae̕l	2015	$75.00	LEDCC99872	DCC9987	0005-979X	BS 410 .B4	
11390014164034107	34107	Bet Miḳra : ketav-ʻet shel ha-Ḥevrah le-ḥeḳer ha-Miḳra be-Yiśrae̕l	2016	$75.00	LEDCC99872	DCC9987	0005-979X	BS 410 .B4	
11390014164034107	34107	Biblical research	2015		LECAC60452	CAC6045	0067-6535	BS 410 .B76	
11390014164034107	34107	Biblical research	2016	$52.80	LECAC60452	CAC6045	0067-6535	BS 410 .B76	
11390014164034107	34107	Bibliotheca sacra 	2015	$59.00	LEDBB74012	DBB7401	0006-1921	BR 1 .B8x	Give v.173 NO. 689 (Jan/Mar 2016) to Barbara to check in.  Barb needs to also give Log in card information to Leila.  8/2/16,ba;
11390014164034107	34107	Bibliotheca sacra 	2016	$59.00	LEDBB74012	DBB7401	0006-1921	BR 1 .B8x	Give v.173 NO. 689 (Jan/Mar 2016) to Barbara to check in.  Barb needs to also give Log in card information to Leila.  8/2/16,ba;
11390014164034107	34107	Biblische Zeitschrift	2015	$57.22	LEDBB74071	DBB7407	0006-2014	BS 410 .B43x	
11390014164034107	34107	Biblische Zeitschrift	2016		LEDBB74071	DBB7407	0006-2014	BS 410 .B43x	
11390014164034107	34107	Brethren life and thought	2015	$120.00	LEDBB78392	DBB7839	0006-9663	BX 7801 .B74	
11390014164034107	34107	Brethren life and thought	2016	$60.00	LEDBB78392	DBB7839	0006-9663	BX 7801 .B74	
11390014164034107	34107	Catholic almanac	2015		LEABC37242	ABC3724	0069-1208	BX 845 .C27x	
11390014164034107	34107	Catholic almanac	2016		LEABC37242	ABC3724	0069-1208	BX 845 .C27x	
11390014164034107	34107	Communio 	2015	$84.77	LEDBC08052	DBC0805	0094-2065	BX 805 .C56	
11390014164034107	34107	Communio 	2016	$84.77	LEDBC08052	DBC0805	0094-2065	BX 805 .C56	
11390014164034107	34107	Concordia Historical Institute quarterly	2015	$45.00	LEDBC09192	DBC0919	0010-5260	BX 8001 .C535	
11390014164034107	34107	Concordia Historical Institute quarterly	2016	$55.00	LEDBC09192	DBC0919	0010-5260	BX 8001 .C535	
11390014164034107	34107	Conversations with the Biblical world : proceedings of the Eastern Great Lakes B	2015		LEA62854661	a6285466	2169-3994	BS 411 .E478	
11390014164034107	34107	Conversations with the Biblical world : proceedings of the Eastern Great Lakes B	2016		LEA62854661	a6285466	2169-3994	BS 411 .E478	
11390014164034107	34107	Dialogue & alliance : a journal of the International Religious Foundation, Inc	2015	$64.00	LEDAU02692	DAU0269	0891-5881	BL 1 .D5x	
